Sentence,SentenceKey,YesRate,ConsensusScore,GoldLabel,Sentence_text,Metaphor,Derived metaphor,Category,subcategory,sentence,Source
I could claim that as a choice instead of say that I have to.,i could claim that as a choice instead of say that i have to.,0.0,1.0,no,I could claim that as a choice instead of say that I have to.,"HEALING IS A CHOICE, CANCER IS NOT",,,,I could claim that as a choice instead of say that I have to.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_17"
She said it has ended a close relationship with a mental health nurse who had helped her over the last year to recover from an anxiety attack,she said it has ended a close relationship with a mental health nurse who had helped her over the last year to recover from an anxiety attack,3.333.333.333.333.330,33.333.333.333.333.300,no,She said it has ended a close relationship with a mental health nurse who had helped her over the last year to recover from an anxiety attack,MEDICINE_IS_WAR,,,,She said it has ended a close relationship with a mental health nurse who had helped her over the last year to recover from an anxiety attack,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
"Typically cell membranes have proteins mixed within their cell membranes, therefore a cell surface will be more bumpy than smooth, a cobblestone if you will.","typically cell membranes have proteins mixed within their cell membranes, therefore a cell surface will be more bumpy than smooth, a cobblestone if you will.",1.0,1.0,yes,"Typically cell membranes have proteins mixed within their cell membranes, therefore a cell surface will be more bumpy than smooth, a cobblestone if you will.",CELL_SURFACE_IS_COBBLESTONE,,,,"Typically cell membranes have proteins mixed within their cell membranes, therefore a cell surface will be more bumpy than smooth, a cobblestone if you will.",Metamia
cells...their ability to grow to much higher cell densities,cells...their ability to grow to much higher cell densities,1.0,1.0,yes,cells...their ability to grow to much higher cell densities,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,cells...their ability to grow to much higher cell densities,Metaphors in medical texts
"But in some cases, the tests may detect old particles of the virus","but in some cases, the tests may detect old particles of the virus",0.0,1.0,no,"But in some cases, the tests may detect old particles of the virus",MEDICINE_IS_A_DETECTIVE_STORY,,,,"But in some cases, the tests may detect old particles of the virus","theguardian.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
"I don’t let the little things bother me anymore, and I appreciate so much more than I ever did.","i don't let the little things bother me anymore, and i appreciate so much more than i ever did.",0.25,0.5,no,"I don’t let the little things bother me anymore, and I appreciate so much more than I ever did.",CANCER_IS_A_BLESSING,,,,"I don’t let the little things bother me anymore, and I appreciate so much more than I ever did. ","THE USE OF CONCEPTUAL METAPHOR IN CANCER  PATIENT STORIES ON A CANCER CENTER WEBSITE Iska Agnesya Fereralda 1 * Shanty A.Y.P.S Duwila, S . S., M.Pd 2 Yulis Setyowati, S.Pd., M.Pd.B.I"
The immune system attacks cancers using activated T cells,the immune system attacks cancers using activated t cells,1.0,1.0,yes,The immune system attacks cancers using activated T cells,MEDICINE_IS_WAR,,,,The immune system attacks cancers using activated T cells,"theguardian.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
the ability of a carcinogenic agent to initiate cells may depend on the capacity of the cell to metabolize the agent to its ultimate carcinogenic form,the ability of a carcinogenic agent to initiate cells may depend on the capacity of the cell to metabolize the agent to its ultimate carcinogenic form,3.333.333.333.333.330,33.333.333.333.333.300,no,the ability of a carcinogenic agent to initiate cells may depend on the capacity of the cell to metabolize the agent to its ultimate carcinogenic form,MANY_ENTITIES_ARE_CAUSATIVE_AGENTS,,,Agents,the ability of a carcinogenic agent to initiate cells may depend on the capacity of the cell to metabolize the agent to its ultimate carcinogenic form,Metaphors in medical texts
"our player Lucy Kerr has been battling cancer over the past months, she'd gone through so much and has been so incredibly brave and strong","our player lucy kerr has been battling cancer over the past months, she'd gone through so much and has been so incredibly brave and strong",6.666.666.666.666.660,33.333.333.333.333.300,yes,"our player Lucy Kerr has been battling cancer over the past months, she'd gone through so much and has been so incredibly brave and strong",MEDICINE_IS_WAR,,,,"our player Lucy Kerr has been battling cancer over the past months, she'd gone through so much and has been so incredibly brave and strong","dailymail.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
"During the course of invasion, the same tumour cell mus interact with a variety of extracellular matrix proteins as it traverses each tissue barrier.","during the course of invasion, the same tumour cell mus interact with a variety of extracellular matrix proteins as it traverses each tissue barrier.",6.666.666.666.666.660,33.333.333.333.333.300,yes,"During the course of invasion, the same tumour cell mus interact with a variety of extracellular matrix proteins as it traverses each tissue barrier.",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,"During the course of invasion, the same tumour cell mus interact with a variety of extracellular matrix proteins as it traverses each tissue barrier.",Metaphors in medical texts
"She then discovered that she had a tumour between her rectum and her uterus, but before doctors could operate, she finally conceived","she then discovered that she had a tumour between her rectum and her uterus, but before doctors could operate, she finally conceived",0.5,0.0,Tie,"She then discovered that she had a tumour between her rectum and her uterus, but before doctors could operate, she finally conceived",DISEASE_IS_A_PHYSICAL_ENTITY,,,,"She then discovered that she had a tumour between her rectum and her uterus, but before doctors could operate, she finally conceived","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
And I knew right then that I would do whatever it took to get through whatever was headed my way.,and i knew right then that i would do whatever it took to get through whatever was headed my way.,6.666.666.666.666.660,33.333.333.333.333.300,yes,And I knew right then that I would do whatever it took to get through whatever was headed my way.,CANCER_IS_JOURNEY,,,,And I knew right then that I would do whatever it took to get through whatever was headed my way.,"THE USE OF CONCEPTUAL METAPHOR IN CANCER  PATIENT STORIES ON A CANCER CENTER WEBSITE Iska Agnesya Fereralda 1 * Shanty A.Y.P.S Duwila, S . S., M.Pd 2 Yulis Setyowati, S.Pd., M.Pd.B.I"
"The enzyme RNA polymerase copies or transcribes genes that encode proteins into RNA using monomeric nucleotides similar to, but with subtle differences from, the four nucleotides present in DNA.","the enzyme rna polymerase copies or transcribes genes that encode proteins into rna using monomeric nucleotides similar to, but with subtle differences from, the four nucleotides present in dna.",0.0,1.0,no,"The enzyme RNA polymerase copies or transcribes genes that encode proteins into RNA using monomeric nucleotides similar to, but with subtle differences from, the four nucleotides present in DNA.",A_GENOME_IS_A_TEXT,,,Text,"The enzyme RNA polymerase copies or transcribes genes that encode proteins into RNA using monomeric nucleotides similar to, but with subtle differences from, the four nucleotides present in DNA.",Metaphors in medical texts
"I had my appendix out and I remember I came round out of the anaesthetic screaming, the pain was something else.","i had my appendix out and i remember i came round out of the anaesthetic screaming, the pain was something else.",0.0,1.0,no,"I had my appendix out and I remember I came round out of the anaesthetic screaming, the pain was something else.",DISEASE_IS_A_PHYSICAL_ENTITY,,,,"I had my appendix out and I remember I came round out of the anaesthetic screaming, the pain was something else.","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
different factors are involved in the mechanisms of different types of cancer,different factors are involved in the mechanisms of different types of cancer,0.0,1.0,no,different factors are involved in the mechanisms of different types of cancer,A_CELL_IS_A_MACHINE,,,Machine and mechanism,different factors are involved in the mechanisms of different types of cancer,Metaphors in medical texts
This result could be based on the poorer communication of tumor cells with their environments and with neighboring cells,this result could be based on the poorer communication of tumor cells with their environments and with neighboring cells,0.5,0.0,Tie,This result could be based on the poorer communication of tumor cells with their environments and with neighboring cells,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,"Communication, signals and messengers",This result could be based on the poorer communication of tumor cells with their environments and with neighboring cells,Metaphors in medical texts
its rapidly developing drug resistance,its rapidly developing drug resistance,0.0,1.0,no,its rapidly developing drug resistance,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,its rapidly developing drug resistance,Metaphors in medical texts
Genes that are transcribed into mRNA are translated into the cytoplasm into proteins by a translation system that deciphers the amino acid sequence encoded in the mRNA trnascript.,genes that are transcribed into mrna are translated into the cytoplasm into proteins by a translation system that deciphers the amino acid sequence encoded in the mrna trnascript.,0.25,0.5,no,Genes that are transcribed into mRNA are translated into the cytoplasm into proteins by a translation system that deciphers the amino acid sequence encoded in the mRNA trnascript.,A_GENOME_IS_A_TEXT,,,Text,Genes that are transcribed into mRNA are translated into the cytoplasm into proteins by a translation system that deciphers the amino acid sequence encoded in the mRNA trnascript.,Metaphors in medical texts
A woman who survived aggressive cancer said thieves who took her family's caravan had also,a woman who survived aggressive cancer said thieves who took her family's caravan had also,1.0,1.0,yes,A woman who survived aggressive cancer said thieves who took her family's caravan had also,,,,,,
"Maybe we could culture the bugs from the mums to purposefully colonise the babies in other words, a scientifically controlled version of vaginal seeding","maybe we could culture the bugs from the mums to purposefully colonise the babies in other words, a scientifically controlled version of vaginal seeding",1.0,1.0,yes,"Maybe we could culture the bugs from the mums to purposefully colonise the babies in other words, a scientifically controlled version of vaginal seeding",,,,,,
cell-cell interactions,cell-cell interactions,0.5,0.0,Tie,cell-cell interactions,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Interactions,cell-cell interactions,Metaphors in medical texts
cytotoxic killer cells and lymphokine activated killer cells,cytotoxic killer cells and lymphokine activated killer cells,3.333.333.333.333.330,33.333.333.333.333.300,no,cytotoxic killer cells and lymphokine activated killer cells,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Functions,cytotoxic killer cells and lymphokine activated killer cells,Metaphors in medical texts
I be low then I be high it’s like a battle knife to a gun fight no need to worry it’s the story of my life blood sugar,i be low then i be high it's like a battle knife to a gun fight no need to worry it's the story of my life blood sugar,1.0,1.0,yes,I be low then I be high it’s like a battle knife to a gun fight no need to worry it’s the story of my life blood sugar,DIABETES IS MECHANICAL,,Experience of disease,,I be low then I be high it’s like a battle knife to a gun fight no need to worry it’s the story of my life blood sugar,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
a large number of these hypoxic cells might in fact be doomed,a large number of these hypoxic cells might in fact be doomed,1.0,1.0,yes,a large number of these hypoxic cells might in fact be doomed,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Fate and survival,a large number of these hypoxic cells might in fact be doomed,Metaphors in medical texts
"The mammalian cell is taught and explained in many K-12 classes as well as in college. From my vantage point they are explained with 10-20 essential parts. This simplification is necessary in the learning process to prime students' minds about the subject. But this framework misses something. Mammalian cells, as they occur in real life, are extremely complicated dynamic entities. To get a feel for actually may be occurring, a stadium metaphor may be helpful. Visualize a football stadium on game day; it is a huge structure with ten of thousands of people coming and going some sitting, some moving. Some the activity is highly structured, the game itself and the fans sitting in the seats. Some of the activity is unstructured. Penalties in the game and fans getting drunk and starting fights. The key point is that there are thousand of movements within the confined and structured space of the stadium. This crudely approximates the dynamic physiology of a mammalian cell.","the mammalian cell is taught and explained in many k-12 classes as well as in college. from my vantage point they are explained with 10-20 essential parts. this simplification is necessary in the learning process to prime students' minds about the subject. but this framework misses something. mammalian cells, as they occur in real life, are extremely complicated dynamic entities. to get a feel for actually may be occurring, a stadium metaphor may be helpful. visualize a football stadium on game day; it is a huge structure with ten of thousands of people coming and going some sitting, some moving. some the activity is highly structured, the game itself and the fans sitting in the seats. some of the activity is unstructured. penalties in the game and fans getting drunk and starting fights. the key point is that there are thousand of movements within the confined and structured space of the stadium. this crudely approximates the dynamic physiology of a mammalian cell.",1.0,1.0,yes,"The mammalian cell is taught and explained in many K-12 classes as well as in college. From my vantage point they are explained with 10-20 essential parts. This simplification is necessary in the learning process to prime students' minds about the subject. But this framework misses something. Mammalian cells, as they occur in real life, are extremely complicated dynamic entities. To get a feel for actually may be occurring, a stadium metaphor may be helpful. Visualize a football stadium on game day; it is a huge structure with ten of thousands of people coming and going some sitting, some moving. Some the activity is highly structured, the game itself and the fans sitting in the seats. Some of the activity is unstructured. Penalties in the game and fans getting drunk and starting fights. The key point is that there are thousand of movements within the confined and structured space of the stadium. This crudely approximates the dynamic physiology of a mammalian cell.",MAMMALIAN_CELL_IS_A_FOOTBALL_STADIUM_ON_SUNDAY_GAME_DAY,,,,"The mammalian cell is taught and explained in many K-12 classes as well as in college. From my vantage point they are explained with 10-20 essential parts. This simplification is necessary in the learning process to prime students' minds about the subject. But this framework misses something. Mammalian cells, as they occur in real life, are extremely complicated dynamic entities. To get a feel for actually may be occurring, a stadium metaphor may be helpful. Visualize a football stadium on game day; it is a huge structure with ten of thousands of people coming and going some sitting, some moving. Some the activity is highly structured, the game itself and the fans sitting in the seats. Some of the activity is unstructured. Penalties in the game and fans getting drunk and starting fights.  The key point is that there are thousand of movements within the confined and structured space of the stadium. This crudely approximates the dynamic physiology of a mammalian cell.",Metamia
the resistance of normal cartilage,the resistance of normal cartilage,1.15,0.5,yes,the resistance of normal cartilage,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,the resistance of normal cartilage,Metaphors in medical texts
Naomi Alderman tells the story of Paul Ehrlich's cure for syphilis and his 'magic bullet' approach using targeted treatments that hit the disease and not the patient,naomi alderman tells the story of paul ehrlich's cure for syphilis and his 'magic bullet' approach using targeted treatments that hit the disease and not the patient,1.0,1.0,yes,Naomi Alderman tells the story of Paul Ehrlich's cure for syphilis and his 'magic bullet' approach using targeted treatments that hit the disease and not the patient,MEDICINE_IS_WAR,,,,Naomi Alderman tells the story of Paul Ehrlich's cure for syphilis and his 'magic bullet' approach using targeted treatments that hit the disease and not the patient,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
Cancer chemotherapy and radiotherapy can estroy the body's immune defenses in hurting immunologically important cells but also breaking the barriers represented by skin and mucous membranes.,cancer chemotherapy and radiotherapy can estroy the body's immune defenses in hurting immunologically important cells but also breaking the barriers represented by skin and mucous membranes.,3.333.333.333.333.330,33.333.333.333.333.300,no,Cancer chemotherapy and radiotherapy can estroy the body's immune defenses in hurting immunologically important cells but also breaking the barriers represented by skin and mucous membranes.,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,Cancer chemotherapy and radiotherapy can estroy the body's immune defenses in hurting immunologically important cells but also breaking the barriers represented by skin and mucous membranes.,Metaphors in medical texts
Organisms responsible for bacteremia in profoundly neutropenic patients may be found colonizing various body sites before development of bacteremia,organisms responsible for bacteremia in profoundly neutropenic patients may be found colonizing various body sites before development of bacteremia,0.5,0.0,Tie,Organisms responsible for bacteremia in profoundly neutropenic patients may be found colonizing various body sites before development of bacteremia,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,Organisms responsible for bacteremia in profoundly neutropenic patients may be found colonizing various body sites before development of bacteremia,Metaphors in medical texts
The best exercise to control high blood pressure seems to be virtually any exercise....Get up and get going!,the best exercise to control high blood pressure seems to be virtually any exercise....get up and get going!,3.333.333.333.333.330,33.333.333.333.333.300,no,The best exercise to control high blood pressure seems to be virtually any exercise....Get up and get going!,DIABETES IS MECHANICAL,,Experience of disease,,The best exercise to control high blood pressure seems to be virtually any exercise....Get up and get going!,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
what did i think all my normal little cells were doing after being hit by a sledgehammer of both toxic chemicals and radiation,what did i think all my normal little cells were doing after being hit by a sledgehammer of both toxic chemicals and radiation,1.0,1.0,yes,what did i think all my normal little cells were doing after being hit by a sledgehammer of both toxic chemicals and radiation,DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,what did i think all my normal little cells were doing after being hit by a sledgehammer of both toxic chemicals and radiation,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
study the sisters in the hope that they would reveal vital clues about the cause of the disease,study the sisters in the hope that they would reveal vital clues about the cause of the disease,0.0,1.0,no,study the sisters in the hope that they would reveal vital clues about the cause of the disease,CANCER_IS_THE_ENIGMA_OF_A_DETECTIVE_STORY,,,,study the sisters in the hope that they would reveal vital clues about the cause of the disease,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
cells...and their progeny,cells...and their progeny,0.0,1.0,no,cells...and their progeny,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",cells...and their progeny,Metaphors in medical texts
I felt on top of things.,i felt on top of things.,1.0,1.0,yes,I felt on top of things.,"HAPPY IS UP, SADNESS IS DOWN",,,,I felt on top of things.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_29"
Synthesis of the message is initiated from a promoter region in the DNA,synthesis of the message is initiated from a promoter region in the dna,1.15,0.5,yes,Synthesis of the message is initiated from a promoter region in the DNA,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,"Communication, signals and messengers",Synthesis of the message is initiated from a promoter region in the DNA,Metaphors in medical texts
members of the tyrosine kinase family of growth factor receptors,members of the tyrosine kinase family of growth factor receptors,0.0,1.0,no,members of the tyrosine kinase family of growth factor receptors,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",members of the tyrosine kinase family of growth factor receptors,Metaphors in medical texts
cancer may involve a multistep process,cancer may involve a multistep process,0.0,1.0,no,cancer may involve a multistep process,CARCINOGENESIS/METASTASIS_CONSIST_OF_SEVERAL_STEPS,,,Steps and stages,cancer may involve a multistep process,Metaphors in medical texts
"Her husband fell critically ill, too, spending 17 days in an intensive care","her husband fell critically ill, too, spending 17 days in an intensive care",1.0,1.0,yes,"Her husband fell critically ill, too, spending 17 days in an intensive care","HEALTH_IS_UP, ILLNESS_IS_DOWN",,,,"Her husband fell critically ill, too, spending 17 days in an intensive care","theguardian.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
receptors that function as transducers of the signal...,receptors that function as transducers of the signal...,3.333.333.333.333.330,33.333.333.333.333.300,no,receptors that function as transducers of the signal...,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,"Communication, signals and messengers",receptors that function as transducers of the signal...,Metaphors in medical texts
the parental tumor,the parental tumor,1.15,0.5,yes,the parental tumor,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",the parental tumor,Metaphors in medical texts
She and my dad had cancer at the same time. She survived. He didn't.,she and my dad had cancer at the same time. she survived. he didn't.,0.0,1.0,no,She and my dad had cancer at the same time. She survived. He didn't.,DISEASE_IS_A_PHYSICAL_ENTITY,,,,She and my dad had cancer at the same time. She survived. He didn't.,"cnn.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
My husband couldn’t get a grip on it for quite a while.,my husband couldn't get a grip on it for quite a while.,6.666.666.666.666.660,33.333.333.333.333.300,yes,My husband couldn’t get a grip on it for quite a while.,UNDERSTANDING IS GRASPING,,,,My husband couldn’t get a grip on it for quite a while.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_48"
Shuttling blood sugar into the cells,shuttling blood sugar into the cells,6.666.666.666.666.660,33.333.333.333.333.300,yes,Shuttling blood sugar into the cells,DIABETES IS MECHANICAL,,Experience of disease,,Shuttling blood sugar into the cells,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
"neoplastic stem cells in a GO state present a major obstacle to any chemotherapy based on selectively killing only growing, cycling cells.","neoplastic stem cells in a go state present a major obstacle to any chemotherapy based on selectively killing only growing, cycling cells.",0.0,1.0,no,"neoplastic stem cells in a GO state present a major obstacle to any chemotherapy based on selectively killing only growing, cycling cells.",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"neoplastic stem cells in a GO state present a major obstacle to any chemotherapy based on selectively killing only growing, cycling cells.",Metaphors in medical texts
maturation > adult cell > cell death,maturation > adult cell > cell death,0.0,1.0,no,maturation > adult cell > cell death,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,maturation > adult cell > cell death,Metaphors in medical texts
This change renders T cells blind to the tumor,this change renders t cells blind to the tumor,1.0,1.0,yes,This change renders T cells blind to the tumor,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,This change renders T cells blind to the tumor,Metaphors in medical texts
"Cassano, who has remained at the Policlinico facility where he was taken for tests after falling ill, was reportedly joking with team-mates on the plane, before suddenly developing problems with his vision, speech and movement","cassano, who has remained at the policlinico facility where he was taken for tests after falling ill, was reportedly joking with team-mates on the plane, before suddenly developing problems with his vision, speech and movement",0.25,0.5,no,"Cassano, who has remained at the Policlinico facility where he was taken for tests after falling ill, was reportedly joking with team-mates on the plane, before suddenly developing problems with his vision, speech and movement","HEALTH IS UP, ILLNESS IS DOWN",,,,"Cassano, who has remained at the Policlinico facility where he was taken for tests after falling ill, was reportedly joking with team-mates on the plane, before suddenly developing problems with his vision, speech and movement","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
...which is lethal for S-phase cells,...which is lethal for s-phase cells,0.5,0.0,Tie,...which is lethal for S-phase cells,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,...which is lethal for S-phase cells,Metaphors in medical texts
Diabetes for breakfast tomorrow yay,diabetes for breakfast tomorrow yay,1.0,1.0,yes,Diabetes for breakfast tomorrow yay,DIABETES IS AN OBJECT,,Development of disease,,Diabetes for breakfast tomorrow yay,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
"In order to colonize the ectopic site, the tumor cells must have left the first capillary arrest site in the lungs and travaled to the ectopic site.","in order to colonize the ectopic site, the tumor cells must have left the first capillary arrest site in the lungs and travaled to the ectopic site.",1.0,1.0,yes,"In order to colonize the ectopic site, the tumor cells must have left the first capillary arrest site in the lungs and travaled to the ectopic site.",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic","In order to colonize the ectopic site, the tumor cells must have left the first capillary arrest site in the lungs and travaled to the ectopic site.",Metaphors in medical texts
some tumors have managed to escape immune detection,some tumors have managed to escape immune detection,1.0,1.0,yes,some tumors have managed to escape immune detection,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,some tumors have managed to escape immune detection,Metaphors in medical texts
It was a new role for me.,it was a new role for me.,0.5,0.0,Tie,It was a new role for me.,LIFE IS A PLAY,CANCER OFFERS NEW ROLES IN A PLAY,,,It was a new role for me.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_43"
spontaneous tumors,spontaneous tumors,0.5,0.0,Tie,spontaneous tumors,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,spontaneous tumors,Metaphors in medical texts
This left her needing high doses of painkillers which left her unable to eat or d,this left her needing high doses of painkillers which left her unable to eat or d,0.0,1.0,Tie,This left her needing high doses of painkillers which left her unable to eat or d,MEDICINE_IS_WAR,,,,This left her needing high doses of painkillers which left her unable to eat or d,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
My blood sugar plays funny little tricks on me,my blood sugar plays funny little tricks on me,1.0,1.0,yes,My blood sugar plays funny little tricks on me,DIABETES IS AN ACTOR,,Experience of disease,,My blood sugar plays funny little tricks on me,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
"Synthesis of the message is initiated from a promoter region in the DNA, and the primary RNA transcript consists of series of coding and noncoding regions","synthesis of the message is initiated from a promoter region in the dna, and the primary rna transcript consists of series of coding and noncoding regions",0.5,0.0,Tie,"Synthesis of the message is initiated from a promoter region in the DNA, and the primary RNA transcript consists of series of coding and noncoding regions",A_GENOME_IS_A_TEXT,,,Text,"Synthesis of the message is initiated from a promoter region in the DNA, and the primary RNA transcript consists of series of coding and noncoding regions",Metaphors in medical texts
The disease has taught me many things about myself.,the disease has taught me many things about myself.,0.5,0.0,Tie,The disease has taught me many things about myself.,CANCER IS A TEACHER,,,,The disease has taught me many things about myself.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_25"
I think of it in metaphorical terms as an alarm.,i think of it in metaphorical terms as an alarm.,0.5,0.0,Tie,I think of it in metaphorical terms as an alarm.,CANCER IS A WAKE-UP CALL,,,,I think of it in metaphorical terms as an alarm.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_39"
"Karolinska University Hospital stopped Macchiarini's work in November 2013, but he continued to perform the transplants as part of a clinical trial in Russia","karolinska university hospital stopped macchiarini's work in november 2013, but he continued to perform the transplants as part of a clinical trial in russia",0.0,1.0,no,"Karolinska University Hospital stopped Macchiarini's work in November 2013, but he continued to perform the transplants as part of a clinical trial in Russia",MEDICINE_IS_AGRICULTURE,,,,"Karolinska University Hospital stopped Macchiarini's work in November 2013, but he continued to perform the transplants as part of a clinical trial in Russia","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
the homing of lymphocytes to the specialised endothelium of lymph nodes,the homing of lymphocytes to the specialised endothelium of lymph nodes,0.5,0.0,Tie,the homing of lymphocytes to the specialised endothelium of lymph nodes,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,the homing of lymphocytes to the specialised endothelium of lymph nodes,Metaphors in medical texts
How each cell---maintains its cellular function through its life,how each cell---maintains its cellular function through its life,0.0,1.0,no,How each cell---maintains its cellular function through its life,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,How each cell---maintains its cellular function through its life,Metaphors in medical texts
second messengers,second messengers,3.333.333.333.333.330,33.333.333.333.333.300,no,second messengers,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,"Communication, signals and messengers",second messengers,Metaphors in medical texts
